"I alt";"Alder i alt";"I alt";"Ringsted";32092;32254;32319;32401;32442;32562;32532;32571;32584;32636;32667;32784;32890;32880;33010;33062;33153;33127;33148;33146;33217;33248;33298;33291;33349;33387;33516;33471;33573;33666;33854;34024;34031;34087;34170;34174;34259;34308;34359;34403;34473;34409;34564;34682;34725;34767;34735;34753;34852;34795;34852;34872;34847;35005;35072;35133;35141;35349;35655;35803;35906;36010;36130;36316;36356;36305;36313;36293;36286;36161;36119;36035;36010
"I alt";"Alder i alt";"I alt";"Slagelse";77457;77491;77560;77497;77457;77391;77529;77478;77475;77423;77542;77444;77442;77455;77470;77357;77310;77185;77289;77208;77167;77094;77162;76992;76948;77064;77187;77167;77293;77332;77560;77805;78140;78276;78534;78642;78828;78754;78905;78973;78968;78965;79010;79009;79073;79009;79139;78985;79073;79176;79155;79106;79122;79287;79555;79644;79691;79706;79946;79855;79728;79726;79802;79819;79923;80137;80185;80325;80481;80648;80848;80964;80959
"I alt";"Alder i alt";"I alt";"Sorø";29180;29198;29245;29391;29458;29438;29484;29555;29522;29503;29549;29540;29499;29437;29477;29400;29393;29314;29310;29311;29288;29231;29262;29311;29299;29295;29270;29243;29331;29277;29458;29488;29543;29559;29631;29611;29595;29634;29643;29635;29669;29718;29763;29729;29834;29838;29860;29866;29881;29882;29872;29977;29993;29933;29944;29970;30018;29992;30112;30258;30444;30515;30523;30444;30478;30573;30656;30589;30641;30651;30743;30710;30853
"I alt";"Alder i alt";"I alt";"Stevns";21892;21849;21906;21908;21948;21923;21977;21949;21931;21945;21949;21870;21855;21874;21900;21864;21855;21823;21807;21775;21818;21838;21861;21864;21825;21835;21920;22008;22038;22035;22162;22227;22260;22300;22379;22416;22492;22580;22617;22731;22727;22823;22899;22849;22782;22787;22856;22892;22805;22800;22840;22975;23034;23205;23284;23393;23473;23637;23825;23809;23692;23692;23636;23622;23649;23639;23646;23609;23612;23617;23680;23720;23842
"I alt";"Alder i alt";"I alt";"Vordingborg";46600;46596;46680;46645;46551;46414;46430;46382;46319;46263;46307;46253;46170;46110;46075;45925;45804;45725;45680;45441;45465;45434;45354;45333;45295;45317;45422;45413;45471;45536;45666;45710;45806;45849;45993;45993;46037;46025;46042;46067;46087;45925;45945;45930;45816;45747;45794;45622;45566;45463;45426;45365;45268;45234;45337;45377;45352;45371;45452;45455;45441;45606;45810;45772;45751;45593;45466;45264;45057;44981;44856;44785;44831
"I alt";"Alder i alt";"I alt";"Assens";42054;42159;42249;42206;42128;42094;42149;42035;42054;41969;41812;41702;41635;41631;41604;41449;41443;41394;41402;41338;41325;41181;41146;41071;41037;40994;41076;41027;41046;41135;41207;41153;41224;41311;41413;41448;41390;41413;41406;41418;41328;41367;41474;41360;41212;41120;41120;41060;40965;40920;40903;40791;40867;40880;40838;40861;40972;40912;40980;41013;40944;40875;40805;40767;40646;40659;40577;40461;40469;40473;40488;40400;40369
"I alt";"Alder i alt";"I alt";"Faaborg-Midtfyn";51950;52038;52101;52129;52108;52004;52083;52167;52085;51984;51971;51903;51926;51691;51694;51735;51635;51522;51562;51467;51409;51303;51279;51078;51078;51061;51096;50903;50953;50997;51179;51159;51236;51233;51329;51338;51376;51397;51436;51477;51536;51559;51698;51752;51809;51817;51746;51566;51556;51519;51571;51562;51683;51639;51787;51788;51849;51928;52101;52139;52253;52181;52239;52266;52291;52271;52282;52317;52284;52284;52299;52318;52328
"I alt";"Alder i alt";"I alt";"Kerteminde";23630;23635;23668;23684;23745;23738;23794;23750;23770;23752;23750;23723;23758;23708;23767;23740;23793;23746;23788;23728;23787;23721;23677;23697;23665;23707;23797;23774;23728;23799;23860;23850;23880;23871;23834;23787;23774;23746;23795;23797;23756;23736;23854;23802;23773;23831;23863;23789;23812;23839;23824;23833;23847;23835;23914;24006;24034;24040;24051;24064;23991;24021;23949;23891;23894;23903;23955;23927;23949;24067;24184;24208;24299
"I alt";"Alder i alt";"I alt";"Langeland";13741;13674;13658;13592;13563;13544;13557;13515;13510;13493;13475;13384;13322;13243;13208;13141;13094;13016;13005;12939;12861;12814;12803;12736;12695;12660;12654;12657;12647;12578;12576;12534;12547;12551;12592;12536;12578;12553;12577;12605;12641;12585;12609;12579;12560;12568;12547;12505;12491;12425;12395;12350;12367;12361;12373;12320;12316;12308;12421;12394;12384;12359;12358;12290;12260;12176;12147;12088;11973;11930;11946;11883;11841
"I alt";"Alder i alt";"I alt";"Middelfart";37274;37321;37412;37545;37625;37622;37680;37664;37661;37642;37650;37618;37701;37692;37678;37557;37612;37607;37704;37567;37523;37595;37645;37583;37685;37722;37874;37826;37857;37890;37981;37857;37913;37930;38041;38011;38093;38159;38123;38122;38210;38259;38363;38447;38553;38706;38862;38796;38853;38955;38998;39026;39116;39290;39433;39520;39603;39677;39938;39992;39961;40071;40136;40056;40158;40231;40351;40331;40318;40347;40410;40502;40625
