kommune,år,income
Kalundborg,2001,209775
Lolland,2001,182851
Næstved,2001,211056
Odsherred,2001,197768
Ringsted,2001,220501
Slagelse,2001,204417
Sorø,2001,217058
Stevns,2001,222309
Vordingborg,2001,200065
Assens,2001,204021
Faaborg-Midtfyn,2001,201200
Kerteminde,2001,211455
Langeland,2001,175834
Middelfart,2001,216981
Nordfyns,2001,201741
Nyborg,2001,200544
Odense,2001,202754
Svendborg,2001,198555
Ærø,2001,181566
Billund,2001,217769
Esbjerg,2001,210631
Fanø,2001,218757
Fredericia,2001,213667
Haderslev,2001,205546
Kolding,2001,219518
Sønderborg,2001,208630
Tønder,2001,196958
Varde,2001,207389
Vejen,2001,204164
Vejle,2001,218707
Aabenraa,2001,205791
Favrskov,2001,222976
Hedensted,2001,218285
Horsens,2001,211439
Norddjurs,2001,196975
Odder,2001,220568
Randers,2001,204637
Samsø,2001,186674
Silkeborg,2001,224086
Skanderborg,2001,231850
Syddjurs,2001,214043
Aarhus,2001,214202
Herning,2001,216565
Holstebro,2001,214252
Ikast-Brande,2001,207877
Lemvig,2001,206758
Ringkøbing-Skjern,2001,215663
Skive,2001,209562
Struer,2001,208659
Viborg,2001,211220
Brønderslev,2001,197616
Frederikshavn,2001,199233
Hjørring,2001,200067
Jammerbugt,2001,202996
Læsø,2001,182980
Mariagerfjord,2001,201309
Morsø,2001,194826
Rebild,2001,214929
Thisted,2001,202820
Vesthimmerland,2001,194522
Aalborg,2001,207281
København,2002,213391
Frederiksberg,2002,259069
Dragør,2002,284881
Tårnby,2002,232349
Albertslund,2002,220921
Ballerup,2002,238594
Brøndby,2002,215818
Gentofte,2002,360426
Gladsaxe,2002,240653
Glostrup,2002,234158
Herlev,2002,227100
Hvidovre,2002,223387
Høje-Taastrup,2002,236305
Ishøj,2002,218847
Lyngby-Taarbæk,2002,290823
Rødovre,2002,223216
Vallensbæk,2002,273485
Allerød,2002,295462
Egedal,2002,278001
Fredensborg,2002,279166
Frederikssund,2002,242578
Furesø,2002,297233
Gribskov,2002,239606
Halsnæs,2002,220009
Helsingør,2002,262596
Hillerød,2002,263012
Hørsholm,2002,363258
Rudersdal,2002,365338
Bornholm,2002,191492
Greve,2002,264630
Køge,2002,237450
Lejre,2002,256796
Roskilde,2002,256285
Solrød,2002,277070
Faxe,2002,222381
Guldborgsund,2002,196841
Holbæk,2002,223602
Kalundborg,2002,214907
Lolland,2002,188900
Næstved,2002,216736
Odsherred,2002,203763
Ringsted,2002,225411
Slagelse,2002,211003
Sorø,2002,221307
Stevns,2002,227444
Vordingborg,2002,204961
Assens,2002,209637
Faaborg-Midtfyn,2002,205267
Kerteminde,2002,218674
Langeland,2002,181107
Middelfart,2002,224033
Nordfyns,2002,207171
Nyborg,2002,206526
Odense,2002,207988
Svendborg,2002,205441
Ærø,2002,190538
Billund,2002,222566
Esbjerg,2002,217132
Fanø,2002,227883
Fredericia,2002,220493
Haderslev,2002,209716
Kolding,2002,224406
Sønderborg,2002,210252
Tønder,2002,199070
Varde,2002,212119
Vejen,2002,208207
Vejle,2002,224724
Aabenraa,2002,211595
Favrskov,2002,227898
Hedensted,2002,222097
Horsens,2002,215676
Norddjurs,2002,201743
Odder,2002,225381
Randers,2002,210678
Samsø,2002,188364
Silkeborg,2002,230296
Skanderborg,2002,238098
Syddjurs,2002,219188
Aarhus,2002,219217
Herning,2002,218976
Holstebro,2002,216992
Ikast-Brande,2002,211370
Lemvig,2002,209903
Ringkøbing-Skjern,2002,215966
Skive,2002,206871
Struer,2002,212698
Viborg,2002,215924
Brønderslev,2002,200449
Frederikshavn,2002,206172
Hjørring,2002,205924
Jammerbugt,2002,207781
Læsø,2002,190581
Mariagerfjord,2002,205266
Morsø,2002,197609
Rebild,2002,218616
Thisted,2002,203943
Vesthimmerland,2002,201011
Aalborg,2002,211986
København,2003,217374
Frederiksberg,2003,261543
Dragør,2003,290685
Tårnby,2003,236740
Albertslund,2003,222845
Ballerup,2003,240944
Brøndby,2003,219228
Gentofte,2003,366216
Gladsaxe,2003,244150
Glostrup,2003,238182
Herlev,2003,231952
Hvidovre,2003,227806
Høje-Taastrup,2003,239297
Ishøj,2003,221844
Lyngby-Taarbæk,2003,293082
Rødovre,2003,228145
Vallensbæk,2003,278617
Allerød,2003,306659
Egedal,2003,281305
Fredensborg,2003,280504
Frederikssund,2003,246596
Furesø,2003,302130
Gribskov,2003,244161
Halsnæs,2003,223505
Helsingør,2003,250531
Hillerød,2003,265039
Hørsholm,2003,360004
Rudersdal,2003,364471
Bornholm,2003,195734
Greve,2003,267595
Køge,2003,242125
Lejre,2003,261910
Roskilde,2003,259908
Solrød,2003,282193
Faxe,2003,226485
Guldborgsund,2003,201403
Holbæk,2003,228539
Kalundborg,2003,218666
Lolland,2003,192641
Næstved,2003,221687
Odsherred,2003,209987
Ringsted,2003,230836
Slagelse,2003,215244
Sorø,2003,226232
Stevns,2003,231174
Vordingborg,2003,209895
Assens,2003,215903
Faaborg-Midtfyn,2003,210932
Kerteminde,2003,221105
Langeland,2003,185187
Middelfart,2003,228887
Nordfyns,2003,209434
Nyborg,2003,213850
Odense,2003,213248
Svendborg,2003,210971
Ærø,2003,195009
Billund,2003,227097
Esbjerg,2003,222662
Fanø,2003,232830
Fredericia,2003,225795
Haderslev,2003,212682
Kolding,2003,228540
Sønderborg,2003,212368
Tønder,2003,202931
Varde,2003,216829
Vejen,2003,212730
Vejle,2003,230250
Aabenraa,2003,214877
Favrskov,2003,233581
Hedensted,2003,227161
Horsens,2003,222122
Norddjurs,2003,207487
Odder,2003,229835
Randers,2003,216081
Samsø,2003,192672
